phase,Unnamed: 0,date,open,high,low,close,volume
,748,2023-06-21,275.13,276.99,257.78,259.46,211797100
,749,2023-06-22,250.77,265.0,248.25,264.61,166875900
,750,2023-06-23,259.29,262.45,252.8,256.6,176584100
,751,2023-06-26,250.07,258.37,240.7,241.05,179990600
,752,2023-06-27,243.24,250.39,240.85,250.21,164968200
,753,2023-06-28,249.7,259.88,248.89,256.24,159770800
,754,2023-06-29,258.03,260.74,253.61,257.5,131283400
,755,2023-06-30,260.6,264.45,259.89,261.77,112267600
,756,2023-07-03,276.49,284.25,275.11,279.82,119685900
,757,2023-07-05,278.82,283.85,277.6,282.48,131530900
,758,2023-07-06,278.09,279.97,272.88,276.54,120332100
,759,2023-07-07,278.43,280.78,273.77,274.43,113602000
,760,2023-07-10,276.47,277.52,265.1,269.61,119425400
,761,2023-07-11,268.65,270.9,266.37,269.79,91972400
,762,2023-07-12,276.33,276.52,271.46,271.99,95672100
,763,2023-07-13,274.59,279.45,270.6,277.9,112681500
,764,2023-07-14,277.01,285.3,276.31,281.38,119771100
,765,2023-07-17,286.63,292.23,283.57,290.38,131569600
,766,2023-07-18,290.15,295.26,286.01,293.34,112434700
,767,2023-07-19,296.04,299.29,289.52,291.26,142355400
,768,2023-07-20,279.56,280.93,261.2,262.9,175158300
,769,2023-07-21,268.0,268.0,255.8,260.02,161050100
,770,2023-07-24,255.85,269.85,254.12,269.06,136508500
,771,2023-07-25,272.38,272.9,265.0,265.28,112757300
,772,2023-07-26,263.25,268.04,261.75,264.35,95856200
,773,2023-07-27,268.31,269.13,255.3,255.71,103697300
,774,2023-07-28,259.86,267.25,258.23,266.44,111446000
,775,2023-07-31,267.48,269.08,263.78,267.43,84582200
,776,2023-08-01,266.26,266.47,260.25,261.07,83166000
,777,2023-08-02,255.57,259.52,250.49,254.11,101752900
,778,2023-08-03,252.04,260.49,252.0,259.32,97569100
,779,2023-08-04,260.97,264.77,253.11,253.86,99242600
,780,2023-08-07,251.45,253.65,242.76,251.45,111097900
,781,2023-08-08,247.45,250.92,245.01,249.7,96642200
,782,2023-08-09,250.87,251.1,241.9,242.19,101596300
,783,2023-08-10,245.4,251.8,243.0,245.34,109498600
,784,2023-08-11,241.77,243.79,238.02,242.65,98866600
,785,2023-08-14,235.7,240.66,233.75,239.76,98595300
,786,2023-08-15,238.73,240.5,232.61,232.96,88197600
,787,2023-08-16,228.02,233.97,225.38,225.6,112484500
,788,2023-08-17,226.06,226.74,218.83,219.22,120718400
,789,2023-08-18,214.12,217.58,212.36,215.49,135813700
,790,2023-08-21,221.55,232.13,220.58,231.28,135702700
,791,2023-08-22,240.25,240.82,229.55,233.19,130597900
,792,2023-08-23,229.34,238.98,229.29,236.86,101077600
,793,2023-08-24,238.66,238.92,228.18,230.04,99777400
,794,2023-08-25,231.31,239.0,230.35,238.59,106612200
,795,2023-08-28,242.58,244.38,235.35,238.82,107673700
,796,2023-08-29,238.58,257.48,237.77,257.18,134047600
,797,2023-08-30,254.2,260.51,250.59,256.9,121988400
,798,2023-08-31,255.98,261.18,255.05,258.08,108861700
,799,2023-09-01,257.26,259.08,242.01,245.01,132272500
,800,2023-09-05,245.0,258.0,244.86,256.49,129469600
,801,2023-09-06,255.14,255.39,245.06,251.92,116959800
,802,2023-09-07,245.07,252.81,243.265,251.49,115312886
,803,2023-09-08,251.22,256.52,246.67,248.5,118558435
,804,2023-09-11,264.27,274.85,260.61,273.58,174667852
,805,2023-09-12,270.76,278.39,266.6,267.48,135991116
,806,2023-09-13,270.07,274.98,268.1,271.3,111673737
,807,2023-09-14,271.32,276.7094,270.42,276.04,107709842
,808,2023-09-15,277.55,278.98,271.0,274.39,133692313
,809,2023-09-18,271.16,271.44,263.7601,265.28,101540959
,810,2023-09-19,264.35,267.85,261.2,266.5,103677113
,811,2023-09-20,267.04,273.93,262.4606,262.59,122491643
,812,2023-09-21,257.85,260.86,254.21,255.7,119803341
,813,2023-09-22,257.4,257.7888,244.48,244.88,127524083
,814,2023-09-25,243.38,247.1,238.31,246.99,104583747
,815,2023-09-26,242.98,249.55,241.6601,244.12,101934431
,816,2023-09-27,244.262,245.33,234.58,240.5,136585184
,817,2023-09-28,240.02,247.55,238.65,246.38,117043180
,818,2023-09-29,250.0,254.77,246.35,250.22,128472729
,819,2023-10-02,244.81,254.2799,242.62,251.6,123810402
,820,2023-10-03,248.61,250.02,244.45,246.53,101985305
,821,2023-10-04,248.14,261.86,247.6,261.16,129721567
